symbol,target_side,raw_target_signed_weight,raw_target_notional,reference_price,current_signed_qty,current_signed_notional,raw_target_abs_qty,target_lattice_abs_qty,target_lattice_signed_qty,short_position_residual_qty,expected_final_signed_qty,executable_expected_signed_weight,projection_weight_gap,projection_notional_gap,estimated_entry_qty,estimated_entry_buying_power,buying_power_price,integer_target_required,constraint_reasons
ISRG,flat,0.0,0.0,360.955,-0.0006,-0.216618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,['raw_target_zero_release']
KKR,short,-0.0120236516123949,-1069.8606729023822,97.0,-11.0,-1064.03,11.029491473220435,11.0,-11.0,0.0,-11.0,-0.011958123472685,6.552813970990092e-05,5.830672902382275,0.0,0.0,99.91,True,"['short_target_integer', 'carried_by_min_trade_notional']"
LBRT,long,0.0099782163507892,887.8584978639907,24.52,36.731,899.9095,36.209563534420504,36.2095,36.2095,0.0,36.2095,0.009978198842702063,-1.750808713626706e-08,-0.0015578639907971592,0.0,0.0,24.549424000000002,False,[]
LLY,short,-1.29478707239912e-06,-0.11520973937021052,1155.955,-0.0001,-0.115661,9.9666284042381e-05,0.0,-0.0,0.0001,-0.0001,-1.2998585744520548e-06,-5.071502052934776e-09,-0.00045126062978947945,0.0,0.0,1190.63365,True,"['short_target_integer', 'carried_by_min_trade_notional']"
LUNR,long,0.0333333333333333,2965.98933333333,14.37,214.1438,3079.387844,206.40148457434447,206.4014,206.4014,0.0,206.4014,0.03333331967478417,-1.3658549120850267e-08,-0.001215333330037538,0.0,0.0,14.387244,False,[]
LYB,flat,0.0,0.0,61.15,0.0001,0.006115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,['raw_target_zero_release']
M,flat,0.0,0.0,23.41,-27.02,-632.014012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,['raw_target_zero_release']
MET,short,-0.0333333333333333,-2965.98933333333,92.63,-32.9601,-3053.094063,32.019748821476085,32.0,-32.0,-0.03990000000000293,-31.960099999999997,-0.033271237466801405,6.209586653189082e-05,5.525270333330354,0.0,0.0,95.4089,True,['short_target_integer']
META,short,-0.0333333333333333,-2965.98933333333,648.04,-3.9962,-2591.13608,4.576861510606336,5.0,-5.0,-0.0038000000000000256,-4.9962,-0.03638738021984345,-0.003054046886510157,-271.74811466667006,1.0,667.4812,667.4812,True,['short_target_integer']
MKTX,long,0.0329477990797987,2931.684618824783,113.795,25.4031,2884.013943,25.762859693525925,25.7628,25.7628,0.0,25.7628,0.0329477227384949,-7.634130379743452e-08,-0.006792824782678508,0.35970000000000013,40.98117997380002,113.931554,False,[]
MLI,long,0.0243928980154852,2170.472259690508,60.305,36.6512,2199.805024,35.991580460832566,35.9915,35.9915,0.0,35.9915,0.024392843484040406,-5.4531444794929704e-08,-0.00485219050779051,0.0,0.0,60.377366,False,[]
MOH,long,0.0333333333333333,2965.98933333333,229.73,12.9377,2965.967725,12.910761908907544,12.9377,12.9377,0.0,12.9377,0.03333309048762594,-2.428457073550155e-07,-0.021608333329822926,0.0,0.0,230.00567600000002,False,['carried_by_min_trade_notional']
MP,long,0.0333333333333333,2965.98933333333,46.005,62.9935,2898.015968,64.47102126580437,64.471,64.471,0.0,64.471,0.03333332233831365,-1.099501964252232e-08,-0.0009783333293853502,1.4775000000000063,68.0539543650003,46.06020600000001,False,[]
